id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
160613;SibaMachado;Sibá Machado;pt;AC;sim;não votou;não votou;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
74356;SilasCamara;Silas Câmara;psd;AM;sim;sim;não;sim;não votou;não votou;sim;sim;não votou;não;sim;sim;abstenção;sim;sim;sim;não;sim;sim;SIM
4930;SilvioCosta;Silvio Costa;psc;PE;sim;sim;sim;não;não;não;sim;sim;sim;não;sim;sim;não;sim;sim;não;não;sim;não;NAO
73560;SilvioTorres;Silvio Torres;psdb;SP;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;abstenção;não;não;sim;não;sim;não votou;SIM
178911;SimoneMorgado;Simone Morgado;pmdb;PA;sim;sim;sim;sim;não;não;não;não;não votou;não;sim;sim;sim;sim;sim;sim;não;sim;sim;NAO
178946;SorayaSantos;Soraya Santos;pmdb;RJ;não votou;não votou;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não votou;não votou;sim;não votou;SIM
178947;SostenesCavalcante;Sóstenes Cavalcante;psd;RJ;sim;sim;não;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;não;não;sim;sim;sim;não;SIM
92776;StefanoAguiar;Stefano Aguiar;psb;MG;sim;não votou;não;sim;sim;sim;sim;sim;sim;sim;não;sim;abstenção;não;não;sim;não;sim;sim;SIM
177282;SubtenenteGonzaga;Subtenente Gonzaga;pdt;MG;não;não;sim;sim;não;sim;não;não;não;não;não votou;sim;sim;não;não;sim;não;sim;sim;SIM
178922;TadeuAlencar;Tadeu Alencar;psb;PE;não;não votou;não;não;não;não;não;não;não;não;não;sim;sim;sim;não;sim;não;sim;sim;SIM
74385;Takayama;Takayama;psc;PR;não votou;sim;sim;sim;não votou;sim;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;SIM
